Date,Component_ID,Units_Used,Category
2022-04-15,RES-10K-0.25W,8595,Passive
2022-04-16,RES-10K-0.25W,1670,Passive
2022-04-17,RES-10K-0.25W,1720,Passive
2022-04-18,RES-10K-0.25W,2667,Passive
2022-04-19,RES-10K-0.25W,2702,Passive
2022-04-20,RES-10K-0.25W,2243,Passive
2022-04-21,RES-10K-0.25W,2582,Passive
2022-04-22,RES-10K-0.25W,2226,Passive
2022-04-23,RES-10K-0.25W,1665,Passive
2022-04-24,RES-10K-0.25W,1605,Passive
2022-04-25,RES-10K-0.25W,2217,Passive
2022-04-26,RES-10K-0.25W,2659,Passive
2022-04-27,RES-10K-0.25W,2580,Passive
2022-04-28,RES-10K-0.25W,2501,Passive
2022-04-29,RES-10K-0.25W,2519,Passive
2022-04-30,RES-10K-0.25W,1508,Passive
2022-05-01,RES-10K-0.25W,1597,Passive
2022-05-02,RES-10K-0.25W,2579,Passive
2022-05-03,RES-10K-0.25W,2619,Passive
2022-05-04,RES-10K-0.25W,2759,Passive
2022-05-05,RES-10K-0.25W,2643,Passive
2022-05-06,RES-10K-0.25W,2741,Passive
2022-05-07,RES-10K-0.25W,1486,Passive
2022-05-08,RES-10K-0.25W,1520,Passive
2022-05-09,RES-10K-0.25W,2523,Passive
2022-05-10,RES-10K-0.25W,3758,Passive
2022-05-11,RES-10K-0.25W,2402,Passive
2022-05-12,RES-10K-0.25W,2543,Passive
2022-05-13,RES-10K-0.25W,2700,Passive
2022-05-14,RES-10K-0.25W,1517,Passive
2022-05-15,RES-10K-0.25W,1504,Passive
2022-05-16,RES-10K-0.25W,2259,Passive
2022-05-17,RES-10K-0.25W,2422,Passive
2022-05-18,RES-10K-0.25W,2482,Passive
2022-05-19,RES-10K-0.25W,2667,Passive
2022-05-20,RES-10K-0.25W,2413,Passive
2022-05-21,RES-10K-0.25W,1511,Passive
2022-05-22,RES-10K-0.25W,1339,Passive
2022-05-23,RES-10K-0.25W,2493,Passive
2022-05-24,RES-10K-0.25W,2353,Passive
2022-05-25,RES-10K-0.25W,2667,Passive
2022-05-26,RES-10K-0.25W,2688,Passive
2022-05-27,RES-10K-0.25W,2497,Passive
2022-05-28,RES-10K-0.25W,1367,Passive
2022-05-29,RES-10K-0.25W,1467,Passive
2022-05-30,RES-10K-0.25W,2427,Passive
2022-05-31,RES-10K-0.25W,2455,Passive
2022-06-01,RES-10K-0.25W,2063,Passive
2022-06-02,RES-10K-0.25W,1890,Passive
2022-06-03,RES-10K-0.25W,1632,Passive
2022-06-04,RES-10K-0.25W,709,Passive
2022-06-05,RES-10K-0.25W,2589,Passive
2022-06-06,RES-10K-0.25W,1793,Passive
2022-06-07,RES-10K-0.25W,1692,Passive
2022-06-08,RES-10K-0.25W,1624,Passive
2022-06-09,RES-10K-0.25W,1700,Passive
2022-06-10,RES-10K-0.25W,1677,Passive
2022-06-11,RES-10K-0.25W,554,Passive
2022-06-12,RES-10K-0.25W,652,Passive
2022-06-13,RES-10K-0.25W,1553,Passive
2022-06-14,RES-10K-0.25W,1613,Passive
2022-06-15,RES-10K-0.25W,1643,Passive
2022-06-16,RES-10K-0.25W,1903,Passive
2022-06-17,RES-10K-0.25W,1679,Passive
2022-06-18,RES-10K-0.25W,993,Passive
2022-06-19,RES-10K-0.25W,845,Passive
2022-06-20,RES-10K-0.25W,2001,Passive
2022-06-21,RES-10K-0.25W,1820,Passive
2022-06-22,RES-10K-0.25W,1786,Passive
2022-06-23,RES-10K-0.25W,1652,Passive
2022-06-24,RES-10K-0.25W,1681,Passive
2022-06-25,RES-10K-0.25W,901,Passive
2022-06-26,RES-10K-0.25W,918,Passive
2022-06-27,RES-10K-0.25W,1907,Passive
2022-06-28,RES-10K-0.25W,1928,Passive
2022-06-29,RES-10K-0.25W,1528,Passive
2022-06-30,RES-10K-0.25W,1852,Passive
2022-07-01,RES-10K-0.25W,1894,Passive
2022-07-02,RES-10K-0.25W,806,Passive
2022-07-03,RES-10K-0.25W,641,Passive
2022-07-04,RES-10K-0.25W,2004,Passive
2022-07-05,RES-10K-0.25W,1753,Passive
2022-07-06,RES-10K-0.25W,1806,Passive
2022-07-07,RES-10K-0.25W,7102,Passive
2022-07-08,RES-10K-0.25W,1607,Passive
2022-07-09,RES-10K-0.25W,701,Passive
2022-07-10,RES-10K-0.25W,849,Passive
2022-07-11,RES-10K-0.25W,1734,Passive
2022-07-12,RES-10K-0.25W,2000,Passive
2022-07-13,RES-10K-0.25W,1833,Passive
2022-07-14,RES-10K-0.25W,1726,Passive
2022-07-15,RES-10K-0.25W,1902,Passive
2022-07-16,RES-10K-0.25W,642,Passive
2022-07-17,RES-10K-0.25W,2840,Passive
2022-07-18,RES-10K-0.25W,1750,Passive
2022-07-19,RES-10K-0.25W,1671,Passive
2022-07-20,RES-10K-0.25W,1873,Passive
2022-07-21,RES-10K-0.25W,1612,Passive
2022-07-22,RES-10K-0.25W,1889,Passive
2022-07-23,RES-10K-0.25W,800,Passive
2022-07-24,RES-10K-0.25W,1014,Passive
2022-07-25,RES-10K-0.25W,1682,Passive
2022-07-26,RES-10K-0.25W,1733,Passive
2022-07-27,RES-10K-0.25W,1711,Passive
2022-07-28,RES-10K-0.25W,1715,Passive
2022-07-29,RES-10K-0.25W,1942,Passive
2022-07-30,RES-10K-0.25W,792,Passive
2022-07-31,RES-10K-0.25W,670,Passive
2022-08-01,RES-10K-0.25W,1741,Passive
2022-08-02,RES-10K-0.25W,7008,Passive
2022-08-03,RES-10K-0.25W,1797,Passive
2022-08-04,RES-10K-0.25W,1586,Passive
2022-08-05,RES-10K-0.25W,1841,Passive
2022-08-06,RES-10K-0.25W,934,Passive
2022-08-07,RES-10K-0.25W,2253,Passive
2022-08-08,RES-10K-0.25W,1837,Passive
2022-08-09,RES-10K-0.25W,1647,Passive
2022-08-10,RES-10K-0.25W,1690,Passive
2022-08-11,RES-10K-0.25W,1706,Passive
2022-08-12,RES-10K-0.25W,1707,Passive
2022-08-13,RES-10K-0.25W,886,Passive
2022-08-14,RES-10K-0.25W,912,Passive
2022-08-15,RES-10K-0.25W,1793,Passive
2022-08-16,RES-10K-0.25W,1715,Passive
2022-08-17,RES-10K-0.25W,1980,Passive
2022-08-18,RES-10K-0.25W,1726,Passive
2022-08-19,RES-10K-0.25W,1727,Passive
2022-08-20,RES-10K-0.25W,817,Passive
2022-08-21,RES-10K-0.25W,701,Passive
2022-08-22,RES-10K-0.25W,2088,Passive
2022-08-23,RES-10K-0.25W,1787,Passive
2022-08-24,RES-10K-0.25W,1866,Passive
2022-08-25,RES-10K-0.25W,1954,Passive
2022-08-26,RES-10K-0.25W,1721,Passive
2022-08-27,RES-10K-0.25W,918,Passive
2022-08-28,RES-10K-0.25W,838,Passive
2022-08-29,RES-10K-0.25W,1938,Passive
2022-08-30,RES-10K-0.25W,1716,Passive
2022-08-31,RES-10K-0.25W,1917,Passive
2022-09-01,RES-10K-0.25W,2601,Passive
2022-09-02,RES-10K-0.25W,2553,Passive
2022-09-03,RES-10K-0.25W,1442,Passive
2022-09-04,RES-10K-0.25W,1894,Passive
2022-09-05,RES-10K-0.25W,2636,Passive
2022-09-06,RES-10K-0.25W,2726,Passive
2022-09-07,RES-10K-0.25W,2732,Passive
2022-09-08,RES-10K-0.25W,2581,Passive
2022-09-09,RES-10K-0.25W,2726,Passive
2022-09-10,RES-10K-0.25W,1638,Passive
2022-09-11,RES-10K-0.25W,1641,Passive
2022-09-12,RES-10K-0.25W,2505,Passive
2022-09-13,RES-10K-0.25W,2739,Passive
2022-09-14,RES-10K-0.25W,8215,Passive
2022-09-15,RES-10K-0.25W,2826,Passive
2022-09-16,RES-10K-0.25W,2430,Passive
2022-09-17,RES-10K-0.25W,1498,Passive
2022-09-18,RES-10K-0.25W,1468,Passive
2022-09-19,RES-10K-0.25W,2377,Passive
2022-09-20,RES-10K-0.25W,2251,Passive
2022-09-21,RES-10K-0.25W,2728,Passive
2022-09-22,RES-10K-0.25W,2618,Passive
2022-09-23,RES-10K-0.25W,2721,Passive
2022-09-24,RES-10K-0.25W,1640,Passive
2022-09-25,RES-10K-0.25W,1573,Passive
2022-09-26,RES-10K-0.25W,2683,Passive
2022-09-27,RES-10K-0.25W,2758,Passive
2022-09-28,RES-10K-0.25W,2782,Passive
2022-09-29,RES-10K-0.25W,2310,Passive
2022-09-30,RES-10K-0.25W,8228,Passive
2022-10-01,RES-10K-0.25W,3350,Passive
2022-10-02,RES-10K-0.25W,3279,Passive
2022-10-03,RES-10K-0.25W,4328,Passive
2022-10-04,RES-10K-0.25W,4232,Passive
2022-10-05,RES-10K-0.25W,4013,Passive
2022-10-06,RES-10K-0.25W,3751,Passive
2022-10-07,RES-10K-0.25W,3983,Passive
2022-10-08,RES-10K-0.25W,3019,Passive
2022-10-09,RES-10K-0.25W,3091,Passive
2022-10-10,RES-10K-0.25W,4205,Passive
2022-10-11,RES-10K-0.25W,4089,Passive
2022-10-12,RES-10K-0.25W,4072,Passive
2022-10-13,RES-10K-0.25W,3909,Passive
2022-10-14,RES-10K-0.25W,4110,Passive
2022-10-15,RES-10K-0.25W,3029,Passive
2022-10-16,RES-10K-0.25W,2657,Passive
2022-10-17,RES-10K-0.25W,4142,Passive
2022-10-18,RES-10K-0.25W,4059,Passive
2022-10-19,RES-10K-0.25W,4243,Passive
2022-10-20,RES-10K-0.25W,4168,Passive
2022-10-21,RES-10K-0.25W,3944,Passive
2022-10-22,RES-10K-0.25W,2964,Passive
2022-10-23,RES-10K-0.25W,2849,Passive
2022-10-24,RES-10K-0.25W,3895,Passive
2022-10-25,RES-10K-0.25W,4182,Passive
2022-10-26,RES-10K-0.25W,4126,Passive
2022-10-27,RES-10K-0.25W,4109,Passive
2022-10-28,RES-10K-0.25W,3962,Passive
2022-10-29,RES-10K-0.25W,2815,Passive
2022-10-30,RES-10K-0.25W,3043,Passive
2022-10-31,RES-10K-0.25W,4248,Passive
2022-11-01,RES-10K-0.25W,4276,Passive
2022-11-02,RES-10K-0.25W,3941,Passive
2022-11-03,RES-10K-0.25W,4014,Passive
2022-11-04,RES-10K-0.25W,4171,Passive
2022-11-05,RES-10K-0.25W,3194,Passive
2022-11-06,RES-10K-0.25W,3232,Passive
2022-11-07,RES-10K-0.25W,4137,Passive
2022-11-08,RES-10K-0.25W,4000,Passive
2022-11-09,RES-10K-0.25W,4291,Passive
2022-11-10,RES-10K-0.25W,3816,Passive
2022-11-11,RES-10K-0.25W,4008,Passive
2022-11-12,RES-10K-0.25W,2702,Passive
2022-11-13,RES-10K-0.25W,3174,Passive
2022-11-14,RES-10K-0.25W,3872,Passive
2022-11-15,RES-10K-0.25W,4049,Passive
2022-11-16,RES-10K-0.25W,3910,Passive
2022-11-17,RES-10K-0.25W,3849,Passive
2022-11-18,RES-10K-0.25W,4398,Passive
2022-11-19,RES-10K-0.25W,3652,Passive
2022-11-20,RES-10K-0.25W,3139,Passive
2022-11-21,RES-10K-0.25W,4102,Passive
2022-11-22,RES-10K-0.25W,3944,Passive
2022-11-23,RES-10K-0.25W,4186,Passive
2022-11-24,RES-10K-0.25W,3708,Passive
2022-11-25,RES-10K-0.25W,4206,Passive
2022-11-26,RES-10K-0.25W,3106,Passive
2022-11-27,RES-10K-0.25W,2912,Passive
2022-11-28,RES-10K-0.25W,3832,Passive
2022-11-29,RES-10K-0.25W,3935,Passive
2022-11-30,RES-10K-0.25W,4131,Passive
2022-12-01,RES-10K-0.25W,3900,Passive
2022-12-02,RES-10K-0.25W,4192,Passive
2022-12-03,RES-10K-0.25W,3047,Passive
2022-12-04,RES-10K-0.25W,3114,Passive
2022-12-05,RES-10K-0.25W,4072,Passive
2022-12-06,RES-10K-0.25W,3879,Passive
2022-12-07,RES-10K-0.25W,8893,Passive
2022-12-08,RES-10K-0.25W,4236,Passive
2022-12-09,RES-10K-0.25W,4095,Passive
2022-12-10,RES-10K-0.25W,3109,Passive
2022-12-11,RES-10K-0.25W,3066,Passive
2022-12-12,RES-10K-0.25W,3755,Passive
2022-12-13,RES-10K-0.25W,3956,Passive
2022-12-14,RES-10K-0.25W,3680,Passive
2022-12-15,RES-10K-0.25W,4250,Passive
2022-12-16,RES-10K-0.25W,4310,Passive
2022-12-17,RES-10K-0.25W,3157,Passive
2022-12-18,RES-10K-0.25W,3291,Passive
2022-12-19,RES-10K-0.25W,3811,Passive
2022-12-20,RES-10K-0.25W,4094,Passive
2022-12-21,RES-10K-0.25W,4262,Passive
2022-12-22,RES-10K-0.25W,4219,Passive
2022-12-23,RES-10K-0.25W,4006,Passive
2022-12-24,RES-10K-0.25W,3043,Passive
2022-12-25,RES-10K-0.25W,3193,Passive
2022-12-26,RES-10K-0.25W,9123,Passive
2022-12-27,RES-10K-0.25W,3980,Passive
2022-12-28,RES-10K-0.25W,4134,Passive
2022-12-29,RES-10K-0.25W,4078,Passive
2022-12-30,RES-10K-0.25W,3923,Passive
2022-12-31,RES-10K-0.25W,3268,Passive
2023-01-01,RES-10K-0.25W,1847,Passive
2023-01-02,RES-10K-0.25W,2518,Passive
2023-01-03,RES-10K-0.25W,2763,Passive
2023-01-04,RES-10K-0.25W,2567,Passive
2023-01-05,RES-10K-0.25W,2447,Passive
2023-01-06,RES-10K-0.25W,2677,Passive
2023-01-07,RES-10K-0.25W,1773,Passive
2023-01-08,RES-10K-0.25W,1598,Passive
2023-01-09,RES-10K-0.25W,2288,Passive
2023-01-10,RES-10K-0.25W,2545,Passive
2023-01-11,RES-10K-0.25W,2425,Passive
2023-01-12,RES-10K-0.25W,2401,Passive
2023-01-13,RES-10K-0.25W,2516,Passive
2023-01-14,RES-10K-0.25W,1660,Passive
2023-01-15,RES-10K-0.25W,1666,Passive
2023-01-16,RES-10K-0.25W,2449,Passive
2023-01-17,RES-10K-0.25W,2388,Passive
2023-01-18,RES-10K-0.25W,2561,Passive
2023-01-19,RES-10K-0.25W,2606,Passive
2023-01-20,RES-10K-0.25W,2622,Passive
2023-01-21,RES-10K-0.25W,1725,Passive
2023-01-22,RES-10K-0.25W,1561,Passive
2023-01-23,RES-10K-0.25W,2415,Passive
2023-01-24,RES-10K-0.25W,2636,Passive
2023-01-25,RES-10K-0.25W,2645,Passive
2023-01-26,RES-10K-0.25W,2750,Passive
2023-01-27,RES-10K-0.25W,2552,Passive
2023-01-28,RES-10K-0.25W,1631,Passive
2023-01-29,RES-10K-0.25W,1516,Passive
2023-01-30,RES-10K-0.25W,2515,Passive
2023-01-31,RES-10K-0.25W,2730,Passive
2023-02-01,RES-10K-0.25W,2361,Passive
2023-02-02,RES-10K-0.25W,2580,Passive
2023-02-03,RES-10K-0.25W,2540,Passive
2023-02-04,RES-10K-0.25W,1497,Passive
2023-02-05,RES-10K-0.25W,1539,Passive
2023-02-06,RES-10K-0.25W,2593,Passive
2023-02-07,RES-10K-0.25W,2644,Passive
2023-02-08,RES-10K-0.25W,2350,Passive
2023-02-09,RES-10K-0.25W,2776,Passive
2023-02-10,RES-10K-0.25W,2931,Passive
2023-02-11,RES-10K-0.25W,1190,Passive
2023-02-12,RES-10K-0.25W,1471,Passive
2023-02-13,RES-10K-0.25W,5845,Passive
2023-02-14,RES-10K-0.25W,2355,Passive
2023-02-15,RES-10K-0.25W,3314,Passive
2023-02-16,RES-10K-0.25W,2409,Passive
2023-02-17,RES-10K-0.25W,2675,Passive
2023-02-18,RES-10K-0.25W,1525,Passive
2023-02-19,RES-10K-0.25W,1563,Passive
2023-02-20,RES-10K-0.25W,2776,Passive
2023-02-21,RES-10K-0.25W,2758,Passive
2023-02-22,RES-10K-0.25W,2394,Passive
2023-02-23,RES-10K-0.25W,2578,Passive
2023-02-24,RES-10K-0.25W,2855,Passive
2023-02-25,RES-10K-0.25W,1612,Passive
2023-02-26,RES-10K-0.25W,1596,Passive
2023-02-27,RES-10K-0.25W,2270,Passive
2023-02-28,RES-10K-0.25W,2603,Passive
2023-03-01,RES-10K-0.25W,2514,Passive
2023-03-02,RES-10K-0.25W,2464,Passive
2023-03-03,RES-10K-0.25W,2668,Passive
2023-03-04,RES-10K-0.25W,1541,Passive
2023-03-05,RES-10K-0.25W,1783,Passive
2023-03-06,RES-10K-0.25W,2555,Passive
2023-03-07,RES-10K-0.25W,2710,Passive
2023-03-08,RES-10K-0.25W,2736,Passive
2023-03-09,RES-10K-0.25W,2521,Passive
2023-03-10,RES-10K-0.25W,2532,Passive
2023-03-11,RES-10K-0.25W,1623,Passive
2023-03-12,RES-10K-0.25W,1514,Passive
2023-03-13,RES-10K-0.25W,2714,Passive
2023-03-14,RES-10K-0.25W,2337,Passive
2023-03-15,RES-10K-0.25W,2706,Passive
2023-03-16,RES-10K-0.25W,2262,Passive
2023-03-17,RES-10K-0.25W,5985,Passive
2023-03-18,RES-10K-0.25W,1528,Passive
2023-03-19,RES-10K-0.25W,2803,Passive
2023-03-20,RES-10K-0.25W,2581,Passive
2023-03-21,RES-10K-0.25W,2663,Passive
2023-03-22,RES-10K-0.25W,2500,Passive
2023-03-23,RES-10K-0.25W,2683,Passive
2023-03-24,RES-10K-0.25W,2494,Passive
2023-03-25,RES-10K-0.25W,1724,Passive
2023-03-26,RES-10K-0.25W,1677,Passive
2023-03-27,RES-10K-0.25W,2700,Passive
2023-03-28,RES-10K-0.25W,2674,Passive
2023-03-29,RES-10K-0.25W,2760,Passive
2023-03-30,RES-10K-0.25W,2502,Passive
2023-03-31,RES-10K-0.25W,2765,Passive
2023-04-01,RES-10K-0.25W,1710,Passive
2023-04-02,RES-10K-0.25W,1590,Passive
2023-04-03,RES-10K-0.25W,2513,Passive
2023-04-04,RES-10K-0.25W,2614,Passive
2023-04-05,RES-10K-0.25W,2560,Passive
2023-04-06,RES-10K-0.25W,2427,Passive
2023-04-07,RES-10K-0.25W,2527,Passive
2023-04-08,RES-10K-0.25W,1620,Passive
2023-04-09,RES-10K-0.25W,1689,Passive
2023-04-10,RES-10K-0.25W,2541,Passive
2023-04-11,RES-10K-0.25W,2594,Passive
2023-04-12,RES-10K-0.25W,2672,Passive
2023-04-13,RES-10K-0.25W,2767,Passive
2023-04-14,RES-10K-0.25W,2945,Passive
2023-04-15,RES-10K-0.25W,7328,Passive
2023-04-16,RES-10K-0.25W,1420,Passive
2023-04-17,RES-10K-0.25W,2529,Passive
2023-04-18,RES-10K-0.25W,2698,Passive
2023-04-19,RES-10K-0.25W,2738,Passive
2023-04-20,RES-10K-0.25W,2629,Passive
2023-04-21,RES-10K-0.25W,2757,Passive
2023-04-22,RES-10K-0.25W,1474,Passive
2023-04-23,RES-10K-0.25W,1351,Passive
2023-04-24,RES-10K-0.25W,2597,Passive
2023-04-25,RES-10K-0.25W,2652,Passive
2023-04-26,RES-10K-0.25W,2828,Passive
2023-04-27,RES-10K-0.25W,2464,Passive
2023-04-28,RES-10K-0.25W,2806,Passive
2023-04-29,RES-10K-0.25W,1677,Passive
2023-04-30,RES-10K-0.25W,1597,Passive
2023-05-01,RES-10K-0.25W,2532,Passive
2023-05-02,RES-10K-0.25W,2785,Passive
2023-05-03,RES-10K-0.25W,2644,Passive
2023-05-04,RES-10K-0.25W,2446,Passive
2023-05-05,RES-10K-0.25W,2764,Passive
2023-05-06,RES-10K-0.25W,1520,Passive
2023-05-07,RES-10K-0.25W,1485,Passive
2023-05-08,RES-10K-0.25W,2616,Passive
2023-05-09,RES-10K-0.25W,2848,Passive
2023-05-10,RES-10K-0.25W,2589,Passive
2023-05-11,RES-10K-0.25W,2686,Passive
2023-05-12,RES-10K-0.25W,2539,Passive
2023-05-13,RES-10K-0.25W,1697,Passive
2023-05-14,RES-10K-0.25W,1726,Passive
2023-05-15,RES-10K-0.25W,2500,Passive
2023-05-16,RES-10K-0.25W,2701,Passive
2023-05-17,RES-10K-0.25W,2516,Passive
2023-05-18,RES-10K-0.25W,2327,Passive
2023-05-19,RES-10K-0.25W,2534,Passive
2023-05-20,RES-10K-0.25W,1588,Passive
2023-05-21,RES-10K-0.25W,1539,Passive
2023-05-22,RES-10K-0.25W,2594,Passive
2023-05-23,RES-10K-0.25W,2482,Passive
2023-05-24,RES-10K-0.25W,2548,Passive
2023-05-25,RES-10K-0.25W,2819,Passive
2023-05-26,RES-10K-0.25W,2620,Passive
2023-05-27,RES-10K-0.25W,1659,Passive
2023-05-28,RES-10K-0.25W,1381,Passive
2023-05-29,RES-10K-0.25W,2614,Passive
2023-05-30,RES-10K-0.25W,2572,Passive
2023-05-31,RES-10K-0.25W,2643,Passive
2023-06-01,RES-10K-0.25W,1792,Passive
2023-06-02,RES-10K-0.25W,1767,Passive
2023-06-03,RES-10K-0.25W,860,Passive
2023-06-04,RES-10K-0.25W,842,Passive
2023-06-05,RES-10K-0.25W,1852,Passive
2023-06-06,RES-10K-0.25W,1725,Passive
2023-06-07,RES-10K-0.25W,1958,Passive
2023-06-08,RES-10K-0.25W,1945,Passive
2023-06-09,RES-10K-0.25W,1922,Passive
2023-06-10,RES-10K-0.25W,1027,Passive
2023-06-11,RES-10K-0.25W,4253,Passive
2023-06-12,RES-10K-0.25W,2029,Passive
2023-06-13,RES-10K-0.25W,1860,Passive
2023-06-14,RES-10K-0.25W,2144,Passive
2023-06-15,RES-10K-0.25W,1865,Passive
2023-06-16,RES-10K-0.25W,1966,Passive
2023-06-17,RES-10K-0.25W,768,Passive
2023-06-18,RES-10K-0.25W,752,Passive
2023-06-19,RES-10K-0.25W,1860,Passive
2023-06-20,RES-10K-0.25W,1726,Passive
2023-06-21,RES-10K-0.25W,1713,Passive
2023-06-22,RES-10K-0.25W,1729,Passive
2023-06-23,RES-10K-0.25W,1873,Passive
2023-06-24,RES-10K-0.25W,1050,Passive
2023-06-25,RES-10K-0.25W,694,Passive
2023-06-26,RES-10K-0.25W,1998,Passive
2023-06-27,RES-10K-0.25W,7103,Passive
2023-06-28,RES-10K-0.25W,1680,Passive
2023-06-29,RES-10K-0.25W,1881,Passive
2023-06-30,RES-10K-0.25W,1736,Passive
2023-07-01,RES-10K-0.25W,1138,Passive
2023-07-02,RES-10K-0.25W,775,Passive
2023-07-03,RES-10K-0.25W,1929,Passive
2023-07-04,RES-10K-0.25W,1772,Passive
2023-07-05,RES-10K-0.25W,1922,Passive
2023-07-06,RES-10K-0.25W,1971,Passive
2023-07-07,RES-10K-0.25W,1759,Passive
2023-07-08,RES-10K-0.25W,883,Passive
2023-07-09,RES-10K-0.25W,6622,Passive
2023-07-10,RES-10K-0.25W,2147,Passive
2023-07-11,RES-10K-0.25W,1877,Passive
2023-07-12,RES-10K-0.25W,1941,Passive
2023-07-13,RES-10K-0.25W,2063,Passive
